;;;;;;;;;;;;;;;;;;;;
#;;;Setor Econômico (CNAE);;;Acidentes;;;Óbitos;;;;Taxa;;;Tx.;;Destaque;;
;;;;;;;;;;;;;CAT¹;;;Letali.²;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;;;;Transp. rodoviário de produtos;;15.008;;;282;;;2.289,1;;;880,04;;;;★;
;;;;perigosos;;;;;;;;;;;;;;;Record;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
2;;;;Serviço de táxi aéreo / locação;;548;;;26;;;1.041,6;;;734,51;;;;;
;;;;aeronaves c/ tripulação;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
3;;;;Serviço de pulverização e;;526;;;36;;;572,9;;;730,27;;;;;
;;;;controle de pragas agrícolas;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
4;;;;Extração de areia, cascalho ou;;2.445;;;40;;;1.365,2;;;703,60;;;;;
;;;;pedregulho;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;5;;;Criação de peixes em água doce;;;542;;;11;;;2.214,5;;;630,81;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
6;;;;Comércio atacadista de;;945;;;17;;;1.040,4;;;583,88;;;;;
;;;;combustíveis por transportador;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
7;;;;Transp. rodoviário coletivo sob;;4.420;;;87;;;2.008,4;;;582,25;;;;;
;;;;regime de fretamento;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
8;;;;Transp. rodoviário de carga;;22.106;;;328;;;2.258,0;;;564,26;;;;;
;;;;municipal;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;9;;;Obras de terraplenagem;;;10.264;;;152;;;3.436,7;;;542,58;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;10;;;Serviços de reboque de veículos;;;2.177;;;49;;;1.839,8;;;527,53;;;;
;;;;;;;;;;;;;;;;;;;;
