;;;;;;;;;;;;;;;;;;;;
#;;;Ocupação (CBO);;;Acidentes;;;Óbitos;;;;Taxa;;;Tx.;;Destaque;;
;;;;;;;;;;;;;CAT¹;;;Letali.²;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;1;;;Técnico de enfermagem;;;372.092;;;182;;;1.626,3;;;1,48;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
2;;;;Alimentador de linha de;;317.800;;;778;;;778,1;;;12,06;;;;;
;;;;produção;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;3;;;Faxineiro;;;217.997;;;419;;;317,1;;;8,84;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
4;;;;Motorista de caminhão (rotas;;135.620;;;4.249;;;340,4;;;103,95;;;★ Mortes;;
;;;;regionais e internacionais);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;5;;;Servente de obras;;;100.723;;;741;;;772,8;;;27,61;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;6;;;Enfermeiro;;;84.806;;;52;;;1.039,4;;;2,15;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;7;;;Vendedor de comércio varejista;;;84.047;;;402;;;119,8;;;17,32;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;8;;;Auxiliar de escritório, em geral;;;78.934;;;235;;;134,1;;;13,05;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;9;;;Assistente administrativo;;;78.375;;;234;;;149,0;;;10,29;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
10;;;;Auxiliar nos serviços de;;73.397;;;101;;;438,1;;;9,27;;;;;
;;;;alimentação;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
