;;;;;;;;;;;;;;;;;;;;
2;;;;Alimentador de linha de;;317.800;;;778;;;778,1;;;12,06;;;;;
;;;;produção;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;3;;;Servente de obras;;;100.723;;;741;;;772,8;;;27,61;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;4;;;Vigilante;;;46.633;;;551;;;218,6;;;40,11;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
5;;;;Motociclista no transporte de;;49.930;;;427;;;957,0;;;26,05;;;;;
;;;;documentos/volumes;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;6;;;Faxineiro;;;217.997;;;419;;;317,1;;;8,84;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;7;;;Ajudante de motorista;;;59.537;;;414;;;607,0;;;21,76;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;8;;;Vendedor de comércio varejista;;;84.047;;;402;;;119,8;;;17,32;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;9;;;Pedreiro;;;47.015;;;372;;;557,9;;;27,47;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
10;;;;Motorista de furgão ou veículo;;24.182;;;343;;;293,7;;;43,67;;;;;
;;;;similar;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
