;;;;;;;;;;;;;;;;;;
6;;;;Técnico em operação de;;466;;1;;6.215,4;;;0,58;;;;;
;;;;equipamentos de TV;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
7;;;;Auxiliar de enfermagem da;;1.931;;1;;6.113,4;;;0,06;;;;;
;;;;estratégia de saúde da família;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;8;;;Trabalhador da cultura de sisal;;45;;0;;;5.927,9;;;0,00;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
9;;;;Técnico de enfermagem;;1.158;;3;;5.811,6;;;0,74;;;;;
;;;;psiquiátrica;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
