;;;;;;;;;;;;;;;;;;
#;;;Ocupação (CBO);;Acidentes;;Óbitos;;;;Taxa;;;Tx.;;Destaque;;
;;;;;;;;;;;CAT¹;;;Letali.²;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
1;;;;"Piloto comercial (exceto linhas
aéreas)";27;;10;;;63,2;;;487,66;;;;★;
;;;;;;;;;;;;;;;;;Record;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;2;;;Piloto de aeronaves;;206;;30;;;100,4;;;480,86;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;3;;;Piloto agrícola;;91;;27;;;437,5;;;402,83;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;4;;;Prefeito;;8;;2;;;503,8;;;200,00;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
5;;;;"Comandante da marinha
mercante";95;;2;;;79,3;;;200,00;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
6;;;;"Mergulhador profissional (raso
e profundo)";512;;18;;;1.496,3;;;188,88;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;7;;;Piloto fluvial;;165;;5;;;250,2;;;154,32;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;8;;;Destroçador de pedra;;362;;5;;;345,8;;;153,79;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;9;;;Médico ginecologista e obstetra;;428;;3;;;1.918,5;;;140,00;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
10;;;;"Técnico em estruturas
metálicas";157;;3;;;258,9;;;136,90;;;;;
;;;;;;;;;;;;;;;;;;
