;;;;;;;;;;;;;;
UF;;;;Acidentes;;;Óbitos;;Taxa CAT;;;Taxa Letali.;;
;;;;(total);;;(total);;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;SP;;;2.219.859;;;6.517;;;199,20;;;2,93;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;MG;;;657.459;;;3.269;;;189,50;;;4,99;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;PR;;;500.946;;;2.653;;;210,18;;;5,28;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;RS;;;516.033;;;1.623;;;240,38;;;3,13;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;SC;;;459.716;;;1.865;;;239,45;;;4,02;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;RJ;;;420.788;;;1.536;;;142,87;;;3,65;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;MT;;;134.549;;;1.257;;;240,04;;;9,24;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;GO;;;182.385;;;1.227;;;179,23;;;6,72;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;BA;;;180.598;;;1.100;;;122,48;;;5,95;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;PE;;;148.569;;;676;;;138,27;;;4,53;
;;;;;;;;;;;;;;
