;;;;;;;;;;;
;Ranking;;;maior taxa CAT;;;maior taxa de letalidade;;;Interpretação;
;;;;;;;;;;;
;;;;;;;;;;;
1°;;;MS – 255,54;;;TO – 10,91;;;;MS tem alta incidência;
;;;;;;;;;;"relativa; TO tem acidentes";
;;;;;;;;;;mais graves/fatais;
;;;;;;;;;;;
;;;;;;;;;;;
2°;;;RS – 240,38;;;MT – 9,24;;;;RS destaca-se pela densidade;
;;;;;;;;;;"industrial; MT pela";
;;;;;;;;;;agropecuária e transporte;
;;;;;;;;;;;
;;;;;;;;;;;
3°;;;MT – 240,04;;;MA – 8,55;;;;MT combina alta incidência E;
;;;;;;;;;;alta letalidade;
;;;;;;;;;;;
;;;;;;;;;;;
4°;;;SC – 239,45;;;RO – 8,23;;;;SC/PR têm forte setor;
;;;;;;;;;;industrial e agroindustrial;
;;;;;;;;;;;
;;;;;;;;;;;
5°;;;RO – 215,55;;;PI – 8,09;;;;Norte e Nordeste com;
;;;;;;;;;;letalidade elevada;
;;;;;;;;;;;
;;;;;;;;;;;
6°;;;ES – 215,16;;;PA – 7,71;;;;PA reflete riscos do;
;;;;;;;;;;agronegócio e extrativismo;
;;;;;;;;;;amazônico;
;;;;;;;;;;;
;;;;;;;;;;;
7°;;;PR – 210,18;;;GO – 6,72;;;;GO combina agronegócio,;
;;;;;;;;;;frigoríficos e construção;
;;;;;;;;;;;
;;;;;;;;;;;
8°;;;SP – 199,20;;;BA – 5,95;;;;SP volume alto, mas taxa;
;;;;;;;;;;"moderada; BA reflete setor de";
;;;;;;;;;;serviços e agro;
;;;;;;;;;;;
;;;;;;;;;;;
9°;;;AM – 191,22;;;AC – 6,58;;;;Região Norte com perfil de;
;;;;;;;;;;risco específico;
;;;;;;;;;;;
;;;;;;;;;;;
10°;;;MG – 189,50;;;PE – 4,53;;;;MG fortemente industrial com;
;;;;;;;;;;acidentes de gravidade;
;;;;;;;;;;moderada;
;;;;;;;;;;;
