tipo_ranking;posicao;cbo_id;cbo_descricao;grupo_ocupacional_analitico;total_acidentes;total_obitos;taxa_cat;taxa_letalidade;destaque;pagina_fonte;arquivo_fonte
acidentes;1;CBO_001;Técnico de enfermagem;Saúde;372092;182;1626.3;1.48;;7;pagina_07_tabela_01.csv
acidentes;2;CBO_002;Alimentador de linha de produção;Indústria e produção;317800;778;778.1;12.06;;7;pagina_07_tabela_01.csv
acidentes;3;CBO_003;Faxineiro;Serviços gerais;217997;419;317.1;8.84;;7;pagina_07_tabela_01.csv
acidentes;4;CBO_004;Motorista de caminhão (rotas regionais e internacionais);Transporte e logística;135620;4249;340.4;103.95;Mortes;7;pagina_07_tabela_01.csv
acidentes;5;CBO_005;Servente de obras;Construção;100723;741;772.8;27.61;;7;pagina_07_tabela_01.csv
acidentes;6;CBO_006;Enfermeiro;Saúde;84806;52;1039.4;2.15;;7;pagina_07_tabela_01.csv
acidentes;7;CBO_007;Vendedor de comércio varejista;Comércio e vendas;84047;402;119.8;17.32;;7;pagina_07_tabela_01.csv
acidentes;8;CBO_008;Auxiliar de escritório, em geral;Administrativo;78934;235;134.1;13.05;;7;pagina_07_tabela_01.csv
acidentes;9;CBO_009;Assistente administrativo;Administrativo;78375;234;149.0;10.29;;7;pagina_07_tabela_01.csv
acidentes;10;CBO_010;Auxiliar nos serviços de alimentação;Alimentação;73397;101;438.1;9.27;;7;pagina_07_tabela_01.csv
obitos;1;CBO_004;Motorista de caminhão (rotas regionais e internacionais);Transporte e logística;135620;4249;340.4;103.95;Lidera;7;pagina_07_tabela_02.csv
obitos;2;CBO_002;Alimentador de linha de produção;Indústria e produção;317800;778;778.1;12.06;;8;pagina_08_tabela_01.csv
obitos;3;CBO_005;Servente de obras;Construção;100723;741;772.8;27.61;;8;pagina_08_tabela_01.csv
obitos;4;CBO_011;Vigilante;Segurança privada;46633;551;218.6;40.11;;8;pagina_08_tabela_01.csv
obitos;5;CBO_012;Motociclista no transporte de documentos/volumes;Transporte e logística;49930;427;957.0;26.05;;8;pagina_08_tabela_01.csv
obitos;6;CBO_003;Faxineiro;Serviços gerais;217997;419;317.1;8.84;;8;pagina_08_tabela_01.csv
obitos;7;CBO_013;Ajudante de motorista;Transporte e logística;59537;414;607.0;21.76;;8;pagina_08_tabela_01.csv
obitos;8;CBO_007;Vendedor de comércio varejista;Comércio e vendas;84047;402;119.8;17.32;;8;pagina_08_tabela_01.csv
obitos;9;CBO_014;Pedreiro;Construção;47015;372;557.9;27.47;;8;pagina_08_tabela_01.csv
obitos;10;CBO_015;Motorista de furgão ou veículo similar;Transporte e logística;24182;343;293.7;43.67;;8;pagina_08_tabela_01.csv
taxa_cat;1;CBO_016;Agente de segurança penitenciária;Segurança pública;829;17;10232.1;16.05;;8;pagina_08_tabela_02.csv
taxa_cat;2;CBO_017;Rebarbador de metal;Indústria metalúrgica;18687;9;8415.2;1.44;;8;pagina_08_tabela_02.csv
taxa_cat;3;CBO_018;Avicultor;Agropecuária;306;0;6860.6;0.0;;8;pagina_08_tabela_02.csv
taxa_cat;4;CBO_019;Ceramista;Indústria e produção;7508;31;6584.5;16.74;;8;pagina_08_tabela_02.csv
taxa_cat;5;CBO_020;Dirigente do serviço público municipal;Administração pública;1534;21;6293.1;123.61;;8;pagina_08_tabela_02.csv
taxa_cat;6;CBO_021;Técnico em operação de equipamentos de TV;Comunicação e tecnologia;466;1;6215.4;0.58;;9;pagina_09_tabela_01.csv
taxa_cat;7;CBO_022;Auxiliar de enfermagem da estratégia de saúde da família;Saúde;1931;1;6113.4;0.06;;9;pagina_09_tabela_01.csv
taxa_cat;8;CBO_023;Trabalhador da cultura de sisal;Agropecuária;45;0;5927.9;0.0;;9;pagina_09_tabela_01.csv
taxa_cat;9;CBO_024;Técnico de enfermagem psiquiátrica;Saúde;1158;3;5811.6;0.74;;9;pagina_09_tabela_01.csv
taxa_letalidade;1;CBO_025;Piloto comercial (exceto linhas aéreas);Aviação;27;10;63.2;487.66;Record;9;pagina_09_tabela_02.csv
taxa_letalidade;2;CBO_026;Piloto de aeronaves;Aviação;206;30;100.4;480.86;;9;pagina_09_tabela_02.csv
taxa_letalidade;3;CBO_027;Piloto agrícola;Aviação;91;27;437.5;402.83;;9;pagina_09_tabela_02.csv
taxa_letalidade;4;CBO_028;Prefeito;Administração pública;8;2;503.8;200.0;;9;pagina_09_tabela_02.csv
taxa_letalidade;5;CBO_029;Comandante da marinha mercante;Transporte aquaviário;95;2;79.3;200.0;;9;pagina_09_tabela_02.csv
taxa_letalidade;6;CBO_030;Mergulhador profissional (raso e profundo);Atividades subaquáticas;512;18;1496.3;188.88;;9;pagina_09_tabela_02.csv
taxa_letalidade;7;CBO_031;Piloto fluvial;Transporte aquaviário;165;5;250.2;154.32;;9;pagina_09_tabela_02.csv
taxa_letalidade;8;CBO_032;Destroçador de pedra;Mineração e extração;362;5;345.8;153.79;;9;pagina_09_tabela_02.csv
taxa_letalidade;9;CBO_033;Médico ginecologista e obstetra;Saúde;428;3;1918.5;140.0;;9;pagina_09_tabela_02.csv
taxa_letalidade;10;CBO_034;Técnico em estruturas metálicas;Indústria metalúrgica;157;3;258.9;136.9;;9;pagina_09_tabela_02.csv
