arquivo_fonte;pagina_fonte;linha_origem;quantidade_celulas_preenchidas;conteudo_linha;estrutura_colunas;tipo_linha;tipo_ranking;grupo_ocupacional_analitico;observacao
pagina_07_tabela_01.csv;7;1;7;# | Ocupação (CBO) | Acidentes | Óbitos | Taxa | Tx. | Destaque;coluna_01=# || coluna_03=Ocupação (CBO) || coluna_05=Acidentes || coluna_07=Óbitos || coluna_10=Taxa || coluna_12=Tx. || coluna_13=Destaque;cabecalho;acidentes;;cabeçalho da tabela
pagina_07_tabela_01.csv;7;2;2;CAT¹ | Letali.²;coluna_10=CAT¹ || coluna_12=Letali.²;cabecalho;acidentes;;continuação do cabeçalho
pagina_07_tabela_01.csv;7;3;6;1 | Técnico de enfermagem | 372.092 | 182 | 1.626,3 | 1,48;coluna_02=1 || coluna_04=Técnico de enfermagem || coluna_06=372.092 || coluna_08=182 || coluna_10=1.626,3 || coluna_12=1,48;dado;acidentes;Saúde;
pagina_07_tabela_01.csv;7;4;6;2 | Alimentador de linha de | 317.800 | 778 | 778,1 | 12,06;coluna_01=2 || coluna_04=Alimentador de linha de || coluna_05=317.800 || coluna_07=778 || coluna_09=778,1 || coluna_11=12,06;dado;acidentes;Indústria e produção;descrição continua na próxima linha
pagina_07_tabela_01.csv;7;5;1;produção;coluna_04=produção;continuacao;acidentes;;juntar à descrição da linha anterior
pagina_07_tabela_01.csv;7;6;6;3 | Faxineiro | 217.997 | 419 | 317,1 | 8,84;coluna_02=3 || coluna_04=Faxineiro || coluna_06=217.997 || coluna_08=419 || coluna_10=317,1 || coluna_12=8,84;dado;acidentes;Serviços gerais;
pagina_07_tabela_01.csv;7;7;7;4 | Motorista de caminhão (rotas | 135.620 | 4.249 | 340,4 | 103,95 | ★ Mortes;coluna_01=4 || coluna_04=Motorista de caminhão (rotas || coluna_05=135.620 || coluna_07=4.249 || coluna_09=340,4 || coluna_11=103,95 || coluna_13=★ Mortes;dado;acidentes;Transporte e logística;"descrição continua na próxima linha; destaque visual do relatório: Mortes"
pagina_07_tabela_01.csv;7;8;1;regionais e internacionais);coluna_04=regionais e internacionais);continuacao;acidentes;;juntar à descrição da linha anterior
pagina_07_tabela_01.csv;7;9;6;5 | Servente de obras | 100.723 | 741 | 772,8 | 27,61;coluna_02=5 || coluna_04=Servente de obras || coluna_06=100.723 || coluna_08=741 || coluna_10=772,8 || coluna_12=27,61;dado;acidentes;Construção;
pagina_07_tabela_01.csv;7;10;6;6 | Enfermeiro | 84.806 | 52 | 1.039,4 | 2,15;coluna_02=6 || coluna_04=Enfermeiro || coluna_06=84.806 || coluna_08=52 || coluna_10=1.039,4 || coluna_12=2,15;dado;acidentes;Saúde;
