arquivo_fonte;pagina_fonte;linha_origem;quantidade_celulas_preenchidas;conteudo_linha;estrutura_colunas;tipo_linha;tipo_ranking;grupo_setor_analitico;observacao
pagina_03_tabela_01.csv;3;1;6;# | Setor Econômico (CNAE) | Acidentes | Óbitos | Taxa | Tx.;coluna_01=# || coluna_03=Setor Econômico (CNAE) || coluna_05=Acidentes || coluna_07=Óbitos || coluna_10=Taxa || coluna_12=Tx.;cabecalho;acidentes;;cabeçalho da tabela
pagina_03_tabela_01.csv;3;2;2;CAT | Letali.;coluna_10=CAT || coluna_12=Letali.;cabecalho;acidentes;;continuação do cabeçalho
pagina_03_tabela_01.csv;3;3;6;1 | Atendimento hospitalar (exceto | 500.032 | 221 | 6.378,9 | 21,69;coluna_01=1 || coluna_04=Atendimento hospitalar (exceto || coluna_05=500.032 || coluna_07=221 || coluna_09=6.378,9 || coluna_11=21,69;dado;acidentes;Saúde;descrição continua na próxima linha
pagina_03_tabela_01.csv;3;4;1;pronto-socorro);coluna_04=pronto-socorro);continuacao;acidentes;;juntar à descrição da linha anterior
pagina_03_tabela_01.csv;3;5;6;2 | Supermercados | 204.277 | 335 | 2.150,6 | 83,82;coluna_02=2 || coluna_04=Supermercados || coluna_06=204.277 || coluna_08=335 || coluna_10=2.150,6 || coluna_12=83,82;dado;acidentes;Comércio;
pagina_03_tabela_01.csv;3;6;6;3 | Administração pública em geral | 177.078 | 596 | 7.609,3 | 195,15;coluna_02=3 || coluna_04=Administração pública em geral || coluna_06=177.078 || coluna_08=596 || coluna_10=7.609,3 || coluna_12=195,15;dado;acidentes;Administração pública;
pagina_03_tabela_01.csv;3;7;6;4 | Transp. rodoviário de carga | 143.367 | 2.601 | 2.304,5 | 526,63;coluna_01=4 || coluna_04=Transp. rodoviário de carga || coluna_05=143.367 || coluna_07=2.601 || coluna_09=2.304,5 || coluna_11=526,63;dado;acidentes;Transporte e logística;descrição continua na próxima linha
pagina_03_tabela_01.csv;3;8;1;intermunicipal/interestadual;coluna_04=intermunicipal/interestadual;continuacao;acidentes;;juntar à descrição da linha anterior
pagina_03_tabela_01.csv;3;9;6;5 | Atendimento em pronto-socorro / | 133.446 | 83 | 6.869,7 | 15,14;coluna_01=5 || coluna_04=Atendimento em pronto-socorro / || coluna_05=133.446 || coluna_07=83 || coluna_09=6.869,7 || coluna_11=15,14;dado;acidentes;Saúde;descrição continua na próxima linha
pagina_03_tabela_01.csv;3;10;1;urgências;coluna_04=urgências;continuacao;acidentes;;juntar à descrição da linha anterior
pagina_03_tabela_01.csv;3;11;6;6 | Construção de edifícios | 122.455 | 820 | 3.743,3 | 238,10;coluna_02=6 || coluna_04=Construção de edifícios || coluna_06=122.455 || coluna_08=820 || coluna_10=3.743,3 || coluna_12=238,10;dado;acidentes;Construção e engenharia;
pagina_03_tabela_01.csv;3;12;6;7 | Coleta de resíduos não- | 84.937 | 220 | 11.164,8 | 65,99;coluna_01=7 || coluna_04=Coleta de resíduos não- || coluna_05=84.937 || coluna_07=220 || coluna_09=11.164,8 || coluna_11=65,99;dado;acidentes;Serviços ambientais;descrição continua na próxima linha
pagina_03_tabela_01.csv;3;13;1;perigosos;coluna_04=perigosos;continuacao;acidentes;;juntar à descrição da linha anterior
pagina_03_tabela_01.csv;3;14;6;8 | Atividades do Correio Nacional | 84.371 | 40 | 9.751,6 | 13,17;coluna_02=8 || coluna_04=Atividades do Correio Nacional || coluna_06=84.371 || coluna_08=40 || coluna_10=9.751,6 || coluna_12=13,17;dado;acidentes;Transporte e logística;
pagina_03_tabela_01.csv;3;15;6;9 | Abate de aves | 80.372 | 166 | 11.844,4 | 50,13;coluna_02=9 || coluna_04=Abate de aves || coluna_06=80.372 || coluna_08=166 || coluna_10=11.844,4 || coluna_12=50,13;dado;acidentes;Indústria alimentícia;
pagina_03_tabela_01.csv;3;16;6;10 | Restaurantes e similares | 76.255 | 262 | 1.317,8 | 112,75;coluna_02=10 || coluna_04=Restaurantes e similares || coluna_06=76.255 || coluna_08=262 || coluna_10=1.317,8 || coluna_12=112,75;dado;acidentes;Comércio;
