cnae_id;cnae_descricao;grupo_setor_analitico
CNAE_001;Atendimento hospitalar (exceto pronto-socorro);Saúde
CNAE_002;Supermercados;Comércio
CNAE_003;Administração pública em geral;Administração pública
CNAE_004;Transp. rodoviário de carga intermunicipal/interestadual;Transporte e logística
CNAE_005;Atendimento em pronto-socorro / urgências;Saúde
CNAE_006;Construção de edifícios;Construção e engenharia
CNAE_007;Coleta de resíduos não-perigosos;Serviços ambientais
CNAE_008;Atividades do Correio Nacional;Transporte e logística
CNAE_009;Abate de aves;Indústria alimentícia
CNAE_010;Restaurantes e similares;Comércio
CNAE_011;Atividades de vigilância e segurança privada;Segurança privada
CNAE_012;Transp. rodoviário de carga municipal;Transporte e logística
CNAE_013;Comércio varejista de combustíveis;Comércio
CNAE_014;Construção de rodovias e ferrovias;Construção e engenharia
CNAE_015;Serviços de engenharia;Construção e engenharia
CNAE_016;Transp. rodoviário de produtos perigosos;Transporte e logística
CNAE_017;Obras de montagem industrial;Indústria
CNAE_018;Medição de consumo de energia elétrica, gás e água;Energia e utilidades
CNAE_019;Bancos múltiplos sem carteira comercial;Financeiro
CNAE_020;Fundição de ferro e aço;Indústria
CNAE_021;Comércio atacadista de café torrado e moído;Comércio
CNAE_022;Frigorífico – abate de suínos;Indústria alimentícia
CNAE_023;Moagem de trigo e fabricação de derivados;Indústria alimentícia
CNAE_024;Regulação de atividades de saúde e educação;Administração pública
CNAE_025;Extração de madeira em florestas plantadas;Florestal
CNAE_026;Outras atividades de serviços financeiros;Financeiro
CNAE_027;Serviço de táxi aéreo / locação aeronaves c/ tripulação;Transporte aéreo
CNAE_028;Serviço de pulverização e controle de pragas agrícolas;Serviços agrícolas
CNAE_029;Extração de areia, cascalho ou pedregulho;Mineração
CNAE_030;Criação de peixes em água doce;Aquicultura
CNAE_031;Comércio atacadista de combustíveis por transportador;Comércio
CNAE_032;Transp. rodoviário coletivo sob regime de fretamento;Transporte e logística
CNAE_033;Obras de terraplenagem;Construção e engenharia
CNAE_034;Serviços de reboque de veículos;Transporte e logística
