tipo_ranking;posicao;cnae_id;cnae_descricao;grupo_setor_analitico;total_acidentes;total_obitos;taxa_cat;taxa_letalidade;destaque;pagina_fonte;arquivo_fonte
acidentes;1;CNAE_001;Atendimento hospitalar (exceto pronto-socorro);Saúde;500032;221;6378.9;21.69;;3;pagina_03_tabela_01.csv
acidentes;2;CNAE_002;Supermercados;Comércio;204277;335;2150.6;83.82;;3;pagina_03_tabela_01.csv
acidentes;3;CNAE_003;Administração pública em geral;Administração pública;177078;596;7609.3;195.15;;3;pagina_03_tabela_01.csv
acidentes;4;CNAE_004;Transp. rodoviário de carga intermunicipal/interestadual;Transporte e logística;143367;2601;2304.5;526.63;;3;pagina_03_tabela_01.csv
acidentes;5;CNAE_005;Atendimento em pronto-socorro / urgências;Saúde;133446;83;6869.7;15.14;;3;pagina_03_tabela_01.csv
acidentes;6;CNAE_006;Construção de edifícios;Construção e engenharia;122455;820;3743.3;238.1;;3;pagina_03_tabela_01.csv
acidentes;7;CNAE_007;Coleta de resíduos não-perigosos;Serviços ambientais;84937;220;11164.8;65.99;;3;pagina_03_tabela_01.csv
acidentes;8;CNAE_008;Atividades do Correio Nacional;Transporte e logística;84371;40;9751.6;13.17;;3;pagina_03_tabela_01.csv
acidentes;9;CNAE_009;Abate de aves;Indústria alimentícia;80372;166;11844.4;50.13;;3;pagina_03_tabela_01.csv
acidentes;10;CNAE_010;Restaurantes e similares;Comércio;76255;262;1317.8;112.75;;3;pagina_03_tabela_01.csv
obitos;1;CNAE_004;Transp. rodoviário de carga intermunicipal/interestadual;Transporte e logística;143367;2601;2304.5;526.63;Lidera;3;pagina_03_tabela_02.csv
obitos;2;CNAE_006;Construção de edifícios;Construção e engenharia;122455;820;3743.3;238.1;;4;pagina_04_tabela_01.csv
obitos;3;CNAE_003;Administração pública em geral;Administração pública;177078;596;7609.3;195.15;;4;pagina_04_tabela_01.csv
obitos;4;CNAE_011;Atividades de vigilância e segurança privada;Segurança privada;42086;467;1079.7;350.1;;4;pagina_04_tabela_01.csv
obitos;5;CNAE_002;Supermercados;Comércio;204277;335;2150.6;83.82;;4;pagina_04_tabela_01.csv
obitos;6;CNAE_012;Transp. rodoviário de carga municipal;Transporte e logística;22106;328;2258.0;564.26;;4;pagina_04_tabela_01.csv
